table,table_description,column,type,org_specific,discontinued,column_description,bucket,time_typed,is_pk
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",TREAT_SUMM_PAT_DTTM,DATETIME (UTC),False,False,This column stores the UTC instant that a treatment summary note is given to the patient.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",TREAT_SUMM_PROV_DTTM,DATETIME (UTC),False,False,This column stores the UTC instant that a treatment summary note is given to the follow-up provider.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",TREAT_SUMM_CPLT_DTTM,DATETIME (UTC),False,False,This column saves the UTC instant that a treatment summary note is marked as complete.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",END_OF_TREAT_DATE,DATETIME,False,False,This column saves the end of treatment date for a treatment summary.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",COSIGN_INST_LOCAL_DTTM,DATETIME (Local),False,False,The instant in local time when the note was cosigned.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO_2,This table extends HNO_ENC_INFO.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO_2,This table extends HNO_ENC_INFO.,EXT_LAST_SIGN_UTC_DTTM,DATETIME (UTC),False,False,(DEPRECATED) The column EXT_NOTE_SIGNING_UTC_DTTM [E0000000000443DBE2742EBE5C1C92EA0] in table NOTE_EXT_SIGNERS [E0000000000443DB52742EBE5C1C92EA0] should be used instead. External note signer instant.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_REL_ORD,This table stores information about external orders related to an external note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_REL_PREDX,This table stores information about external pre-procedure diagnoses related to an external note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_REL_PROB,This table stores information about external problems related to an external note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_REL_PROC,This table stores information about external procedures related to an external note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_REL_PSTDX,This table stores information about external post-procedure diagnoses related to an external note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_SIGNERS,Note signer information for auto-reconciled external notes.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_SIGNERS,Note signer information for auto-reconciled external notes.,EXT_NOTE_SIGNING_UTC_DTTM,DATETIME (UTC),False,False,An auto-reconciled external note signing instant for a note signer.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EXT_WRN_TYP,This table stores the external note warning types for a note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_RESEARCH_LINK_HX,This table contains information about how the research study linkage on a note has changed over time.,HX_STUDY_LINK_UTC_DTTM,DATETIME (UTC),False,False,History of when the research link of the note was modified.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_SMARTBLOCK_ATTR,"Store the employee (EMP) ID, the Timestamp, and the SmartBlocks added of the Attribution for SmartBlocks.",ATTRIBUTION_UTC_DTTM,DATETIME (UTC),False,False,Stores the instant part of the attribution for SmartBlocks (forms that generate text for a note).,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_SMARTSECTION_IDS,Contains the SmartSection IDs used in the note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ORDER_DOCUMENTS,"This table contains the DCS records attached to an order on a contact level such as scanned hard copy prescriptions, Lab Scans and Lab Reports.",CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ORDER_RAD_DICTATE,This table stores the dictation radiologist & dictating date information for orders performed in radiology.,DICTATING_DT,DATETIME,False,False,The date that the radiologist sent the dictation to the transcriptionist.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ORDER_RAD_DICTATE,This table stores the dictation radiologist & dictating date information for orders performed in radiology.,DICTATED_UTC_DTTM,DATETIME (UTC),False,False,This item captures the date and time in the Universal Time Coordinated (UTC) format that the provider listed in the Dictated Physicians (I ORD 52205) item dictated the study.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ORDER_RESULT_DOCUMENTS,This tables holds document IDs for documents that contain results for an order.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ORDER_SMARTSECTION_DATA,Data for Order specific SmartSections.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ORDER_SMARTSECTION_HNO,Holds the CSN of HNO records that contain the SmartSection text.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ORDER_SMARTSECTION_TEXT,Holds the SmartSection text for an Order. Associated key is SMARTSECTION_KEY in ORDER_SMARTSECTION_DATA.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
OUTREACH_ESIG_DOCUMENTS,This table stores documents sent to patients for e-signature prior to an outreach.,ESIG_DOC_SEND_DATE,DATETIME,False,False,The date to send the e-signature document to the patient.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
PAT_ADDENDUM_INFO,This table contains the encounter addendum information from the Addendum Added Date (I EPT 18123) and Addendum Added User (I EPT 18129) items.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
PAT_ADDENDUM_INFO,This table contains the encounter addendum information from the Addendum Added Date (I EPT 18123) and Addendum Added User (I EPT 18129) items.,ADDENDUM_DATE_TIME,DATETIME (Local),False,False,The date and time when the addendum of the patient encounter is created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
PAT_ADDENDUM_INFO,This table contains the encounter addendum information from the Addendum Added Date (I EPT 18123) and Addendum Added User (I EPT 18129) items.,ADDENDUM_STARTED_UTC_DTTM,DATETIME (UTC),False,False,"This is the UTC instant when an addendum was started. If blank, then the Addendum Finished Date and Addendum Finished Time (ADDENDUM_DATE_TIME) is the started instant as well as the signed instant.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
PAT_DT_STICKY_NOTE_INFO,"This table contains information regarding a patient's date-specific sticky notes, including the date the note applies to as well as the note ID.",DT_STICKY_NOTE_DATE,DATETIME,False,False,Stores the date of the date-specific sticky notes.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
PAT_ENC_AMBIENT_SESSIONS,Stores ambient session information from a patient's encounter.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
PAT_ENC_PREPAYNOTE,User entered notes associated with a prepayment on a patient encounter.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
QRY_EVIDENCE_NOTE_CSN_ID,This table extracts information related to the contact the evidence came from.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
QRY_EVIDENCE_NOTE_IDS,This table extracts information related to the note record that the evidence came from.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
SMARTFORMS_ACCESSED,"This table contains information pertaining to how specific users are accessing specific SmartForms, such as how long a user has spent in a given SmartForm.",CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
SMARTFORM_METADATA,This table contains metadata pertaining to specific SmartForms for a visit.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
SMRTDTA_ELEM_CUST_SERVICE,This table is a bridge between CRM context SmartData element values and the source customer relationship management records.,CUR_VALUE_DATETIME,DATETIME (Local),False,False,"The date and time when the SmartData element value was entered by a user through a SmartForm, SmartTool or other documentation tool that files discrete data to SmartData elements.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
SMRTDTA_ELEM_DATA,"The SMRTDTA_ELEM_DATA table stores metadata (context, linked records, time of entry, etc.) concerning SmartData element values entered by users through SmartForms, SmartTools or other documentation tools that file discrete data to SmartData elements. The actual element values entered by end users are stored in the SMRTDTA_ELEM_VALUE table.",CUR_VALUE_DATETIME,DATETIME (Local),False,False,"The date and time when the SmartData element value was entered by a user through a SmartForm, SmartTool or other documentation tool that files discrete data to SmartData elements.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
SMRTDTA_ELEM_DATA,"The SMRTDTA_ELEM_DATA table stores metadata (context, linked records, time of entry, etc.) concerning SmartData element values entered by users through SmartForms, SmartTools or other documentation tools that file discrete data to SmartData elements. The actual element values entered by end users are stored in the SMRTDTA_ELEM_VALUE table.",CUR_VAL_UTC_DTTM,DATETIME (UTC),False,False,UTC version of HLV 70,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
TX_ADDENDUM_NOTES,Extract Note (HNO) records containing addendum information for the note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
CLARITY_SER,"The CLARITY_SER table contains high-level information about your provider records. These records may be caregivers, resources, classes, devices, and modalities.",PROV_ID_PROV_NAME,VARCHAR,False,False,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.,"Provider record (schedule/FTE -- exploratory, no after-hours-specific field found)",False,False
CLARITY_SER,"The CLARITY_SER table contains high-level information about your provider records. These records may be caregivers, resources, classes, devices, and modalities.",PROV_NAME,VARCHAR,False,False,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.,"Provider record (schedule/FTE -- exploratory, no after-hours-specific field found)",False,False
CLARITY_SER,"The CLARITY_SER table contains high-level information about your provider records. These records may be caregivers, resources, classes, devices, and modalities.",EXTERNAL_NAME,VARCHAR,False,False,The external name of the provider record.,"Provider record (schedule/FTE -- exploratory, no after-hours-specific field found)",False,False
